pid,name,url,imageurl,school1,absrate1,tardyr1,nsusp1,mobility1,q1mpa1,q2mpa1,q3mpa1,q4mpa1,g6mapr1,g6msam1,school2,absrate2,tardyr2,nsusp2,mobility2,q1mpa2,q2mpa2,q3mpa2,q4mpa2,g7mapr2,g7msam2,school3,absrate3,tardyr3,nsusp3,mobility3,q1mpa3,q2mpa3,q3mpa3,q4mpa3,school4,absrate4,nsusp4,retained4,mobility4,q1mpa4,q2mpa4,q3mpa4,q4mpa4,school5,absrate5,nsusp5,retained5,mobility5,q1mpa5,q2mpa5,q3mpa5,q4mpa5,school6,absrate6,nsusp6,retained6,mobility6,q1mpa6,q2mpa6,q3mpa6,q4mpa6,school7,absrate7,nsusp7,retained7,mobility7,q1mpa7,q2mpa7,q3mpa7,q4mpa7,psatm,psatv,g8msam,g8mapr,birth,male,miss_code1,miss_code2,miss_code3,miss_code4,miss_code5,miss_code6,miss_code7,wcode_last,last_code,last_year,grad,nograd,drop,new4,new5,new6,new7,attend_class,g8_schl,g9_schl,mpa_ave,nsusp_ave,abs_ave,risk6,risk7,risk8,risk9,risk10,risk11,risk12
1,Sarah Abraham,https://www.linkedin.com/pub/sarah-abraham/65/49/a45,http://dssg.io/img/people/abraham.jpg,245,0.555556,0,0,0,3.71,3.14,3.635,3.64,67.5,2.5,245,1.3736265,0.824176,0,0,3.635,3.355,3.64,3.64,73,2.5,245,1.388889,0,0,0,3.75,3.57,3.925,3.635,458.5,0.857143,0,0,0,3.565,3.64,3.565,3.855,458.5,1.1111115,0,0,0,3.785,3.71,3.855,3.785,458.5,2.4456525,0,0,0,3.57,3.21,3.64,3.565,458.5,14.779006,0,0,0,3.915,3.505,3.34,2.935,58.5,52,2.5,77.5,199552,0,0,0,0,0,0,0,0,61,1,7,1,0,0,0,0,0,0,4,245,458.5,3.60625,0,1.106023833,3.25,0.75,0.75,0,0.5,0,0
2,Julius Adebayo,http://www.linkedin.com/in/juliusadebayo,http://dssg.io/img/people/adebayo.jpg,380.5,2.222222,0,0,0,3.74,3.78,3.925,3.925,74,3,380.5,1.6529055,0,0,0,3.925,3.785,4,4,69,3,380.5,2.0833335,0,0,0,4,4,3.85,4,371,0.5714285,0,0,0,3.925,3.925,4,3.78,371,1.388889,0,0,0,3.71,3.855,3.855,3.855,371,2.3097825,0,0,0,3.925,3.615,3.855,3.615,371,7.320442,0,0,0,3.83,3.73,3.75,3.495,57.5,51.5,3,77,199509,1,0,0,0,0,0,0,0,61,1,7,1,0,0,0,0,0,0,4,380.5,371,3.9108335,0,1.986153667,0,0,0,0,0,0,0
3,Everaldo Aguiar,http://www.nd.edu/~eaguiar,http://dssg.io/img/people/aguiar.jpg,176,2.083333,0.277778,0,0,4,3.785,3.855,3.855,85.5,3,176,4.120879,0.5494505,0,0,3.925,3.925,3.755,3.935,84,2.5,176,2.5,0.5555555,0,0,3.785,3.855,3.855,3.71,138.5,1.714286,0,0,0,3.28,3.425,3.855,3.495,138.5,1.527778,0,0,0,3.5,3.495,3.5,3.565,138.5,2.173913,0,0,0,3.565,3.785,3.565,3.785,138.5,7.596685,0,0,0,3.64,3.71,3.415,3.5,61,58,3,88,199509.5,0.5,0,0,0,0,0,0,0,60.5,1,7,1,0,0,0,0,0,0,4,176,138.5,3.8533335,0,2.901404,0.25,0.25,0,0.5,0,0,0
4,Jeff Alstott,http://jeffalstott.com/,http://dssg.io/img/people/alstott.jpg,242.5,5.138889,0.555556,0,0,3.35,3.28,3.635,3.21,70.5,2.5,242.5,3.846154,0,0,0,3.64,3.425,3.57,3.565,85.5,2,242.5,5.4166665,0.8333335,0,0,3.785,3.64,3.495,3.425,392.5,3.7142855,0,0,0,3.28,2.71,3.21,3,392.5,5.6944445,0,0,0,3.21,3.28,2.995,3.21,392.5,4.347826,0,0,0,3.065,2.78,2.995,2.92,392.5,7.872928,0,0,0,3.305,3.615,3.21,3.16,39.5,51,2.5,80.5,199510,0.5,0,0,0,0,0,0,0,60.5,1,7,1,0,0,0,0,0,0,4,242.5,392.5,3.5016665,0,4.800569834,2.5,1.5,1.25,1,1.75,0.5,0
5,Nasir Bhanpuri,http://www.linkedin.com/pub/nasir-bhanpuri/19/7b5/a01,http://dssg.io/img/people/bhanpuri.jpg,613,1.5277775,0,0.5,0,3.635,3.425,3.21,3.15,65.5,2.5,471,3.1593405,2.197802,0.5,0,2.78,2.85,3.14,3.21,69,2,471,0.5555555,2.777778,0,0,3.425,3.21,3.285,3.355,467.5,0.7142855,0,0,0,3.21,3.21,3.78,3.565,467.5,0,0,0,0,3.635,3.495,3.5,3.64,467.5,0.6793475,0,0,0,3.355,3.21,3.425,3.355,467.5,2.7624305,0,0,0,3.71,3.71,3.425,3.3,55,48,2.5,60.5,199504,1,0,0,0,0,0,0,0,60.5,1,7,1,0,0,0,0,0,0,4,471,467.5,3.2229165,0.333333333,1.747557834,1.5,2.75,2.5,1,0.25,0,0
6,Chris Bopp,http://twitter.com/chrisbopp,http://dssg.io/img/people/bopp.jpg,463,0.8333335,0.277778,1,0.5,1.925,2.355,2.355,2.14,21.5,2,463,1.6483515,0.824176,0.5,0.5,2.71,2.78,2.565,2.425,23,1.5,213,1.1111115,0.277778,0,0.5,2.71,3,3.07,2.71,523.5,0.857143,0,0,0.5,2.565,2.57,2.995,2.85,523.5,0.277778,0,0,0.5,2.495,2.495,2.57,2.71,523.5,2.0380435,0,0,0.5,2.78,2.565,3.14,3.09,523.5,1.3812155,0,0,0.5,2.78,3.21,2.355,2.57,36,32,2,45.5,199507.5,1,0,0,0,0,0,0,0,60,1,7,1,0,0,0,0,0,0,4,213,523.5,2.5620835,0.5,1.197598834,32.25,15.25,7.5,2.5,1.25,1,1
7,Joe Brew,https://www.linkedin.com/pub/joe-brew/3a/1a3/106,http://dssg.io/img/people/brew.jpg,360.5,4.526439,0,0.5,1.5,2.74,2.71,2.495,2.14,29,2,360.5,2.4725275,11.5384615,0.5,1.5,2.54,2.105,2.47,2.605,19.5,2,360.5,2.9166665,8.3333335,0,1.5,2.71,2.495,2.42,2.425,241.5,0.857143,0,0,1.5,2.71,2.57,2.425,2.21,241.5,8.234127,0,0,1.5,2.28,2.28,2.71,2.42,234,8.423913,0,0,3,2.85,2.85,2.71,2.71,241.5,5.38674,0.5,0,1.5,2.125,2.375,2.185,1.32,43,33,2,47.5,199505,1,0,0,0,0,0,0.5,0,60,1,7,1,0,0,0,0,0,0,3.5,360.5,241.5,2.481288,0.333333333,3.305211,21.25,12.75,8.5,5,7.5,0,5.25
8,Nadya Calderon,http://interaction-science.iat.sfu.ca/nadya,http://dssg.io/img/people/calderon.jpg,765,7.0833335,0,0.5,0,2.445,2.185,2.31,2.195,11,1.5,765,3.434066,1.923077,0,0,3.06,2.485,2.515,2.605,32,1.5,765,4.7222225,1.6666665,1,0,2.73,2.535,2.25,2.39,532,4,0,0,0,3.07,2.35,2.85,2.855,532,2.7777775,0,0,0,2.425,2.495,2.355,2.425,532,2.445652,0,0.5,0,2.28,2.14,2.355,2.28,532,4.0055245,0,0.5,0,2.54,2.35,2.37,2.485,31,32.5,1.5,12.5,199506,0.5,0,0,0,0,0,0,0,60,1,7,1,0,0,0,0,0,0,4,765,532,2.4754165,0.5,5.079874,20.5,14.25,13.5,10,5.75,7.75,6.5
9,Scott Cambo,http://www.linkedin.com/pub/scott-cambo/95/b29/558,http://dssg.io/img/people/cambo.jpg,411.5,1.666667,0.8333335,0,0,2.64,2.78,2.925,2.995,42.5,1.5,741.5,2.60989,3.021978,1,0.5,3.14,2.565,2.515,2.41,48.5,2,741.5,4.4444445,1.388889,0.5,0.5,2.07,2.14,1.91,1.935,501.5,4.5714285,0,0,1,2.35,1.425,1.425,2.35,501.5,7.465278,0.5,0,1,2.14,2.42,2.28,2.71,246,1.630435,0,0,1,3,3,2.85,2.85,246,1.657459,0,0,1,2,2.14,2,1.85,36,31.5,1.5,31,199505,0.5,0,0,0,0,0,2,2,50,2,6,0.5,0.5,0.5,0,0,0,0,3.5,741.5,501.5,2.502083,0.5,2.9070005,6.5,11,20.75,21.75,21.5,0,0
10,Alejandra Caro,https://www.linkedin.com/pub/alejandra-caro/37/677/b08,http://dssg.io/img/people/caro.jpg,445,2.777778,0,2,0.5,2.14,1.935,1.735,1.57,27.5,1.5,445,4.6703295,0,2,0.5,1.605,1.36,1.425,1.46,47.5,1.5,445,2.5,0.8333335,0.5,0.5,1.325,1.395,1.665,1.82,522.5,3.7142855,1,0.5,0.5,1.605,1.245,1.335,1.015,522.5,4.4444445,1,1,0.5,1.06,0.91,1.75,1.175,522.5,13.451087,2,1,0.5,1.39,0.8,1.645,0.75,522.5,20.303867,0.5,1,0.5,1.86,1.14,0.625,0.385,28,33,1.5,50,199505,1,0,0,0,0,0,0,0,79.5,1.5,7,0.5,0.5,0,0,0,0,0,3.5,445,522.5,1.6195835,1.5,3.316035834,44,43,51.5,51.5,56.25,61,65.75
