id,absrate1,nsusp1,mobility1,q1mpa1,q2mpa1,q3mpa1,q4mpa1,absrate2,nsusp2,mobility2,q1mpa2,q2mpa2,q3mpa2,q4mpa2,absrate3,nsusp3,mobility3,q1mpa3,q2mpa3,q3mpa3,q4mpa3,absrate4,nsusp4,mobility4,q1mpa4,q2mpa4,q3mpa4,q4mpa4,absrate5,nsusp5,mobility5,q1mpa5,q2mpa5,q3mpa5,q4mpa5,absrate6,nsusp6,mobility6,q1mpa6,q2mpa6,q3mpa6,q4mpa6,absrate7,nsusp7,mobility7,q1mpa7,q2mpa7,q3mpa7,q4mpa7,nograd
Abbie,8.691872389,-0.241215186,1.316117386,2.007210465,2.013601261,2.328796054,2.506311352,4.445918387,-0.01306503,1.096591858,2.928837844,2.175710072,2.102891272,1.96351892,7.890115024,0.214620543,0.867511373,2.23460215,2.536150675,2.419918348,1.465460002,7.093745814,0.452587238,1.065681091,2.219682389,1.169578842,1.284926466,0.936804977,9.406679447,0.391347612,1.148867952,1.744376106,1.099664247,1.157568828,1.977280282,12.82569535,0.469378978,1.407906613,2.297615605,1.123704107,1.359044578,1.970477525,8.541412495,0.435636932,1.409896487,2.433182051,1.681992758,1.724063905,1.185468712,1
Abby,2.679866259,-0.429857736,0.988550513,2.610176688,2.035794997,2.925415297,2.452697618,6.919959778,0.417918728,0.974072544,2.72789677,2.46141997,1.851020073,2.1229739,9.821912838,-0.350817769,1.012937389,3.077149064,2.430713753,1.937345918,1.606285026,4.303678114,0.275495068,1.213061096,1.856320208,1.478505979,1.707804582,2.096561175,4.406175703,0.135498379,1.345495183,2.195518386,1.890129737,1.992773438,2.629347953,16.91126221,0.143808048,1.45309724,2.907064543,2.616252876,2.848024961,3.564299921,13.0868867,0.079269806,1.302859158,2.857147464,3.171641297,3.102558659,2.941375469,0
Abigail,2.390262586,-0.000733533,1.582127778,1.944150403,2.372955962,2.747949328,2.431094963,6.53628668,0.707911921,1.555897892,2.073280008,1.695722218,2.395420195,2.663296506,3.135256823,0.039464816,1.598026841,2.734258941,2.981217279,2.625800195,2.17753782,1.729965994,0.196020767,1.690648459,1.928657596,1.967329968,2.006909029,1.937163206,6.803389652,0.55779308,1.786766339,2.585894158,1.679026916,1.97434291,1.551610888,5.42623365,0.524978187,2.026715145,2.140819727,1.672574818,2.321203796,1.700466752,21.37259007,0.40875502,2.133940899,2.233617111,1.29290871,2.513961551,1.271819966,0
Ada,1.104281615,0.256326975,0.463056881,3.802947411,3.6200913,3.022130822,3.469220969,2.031968291,-0.139935264,0.578213416,3.397888976,3.812461507,3.858430456,3.855237718,7.11366305,0.309875868,0.798509381,3.293562792,3.173440783,3.79714692,4.061354929,4.615928512,-0.072255652,0.597322049,3.738763866,3.905486979,3.712385707,3.456236053,9.259693858,-0.189588236,1.042522518,2.905131142,4.056863496,3.156799858,2.26845709,15.27805638,0.312921925,0.96628495,1.812176176,2.465512504,3.285754976,2.436690272,17.2070024,0.275661255,1.063419909,2.304024777,2.812056077,2.371851702,2.819220322,0
Adah,-0.321348944,-0.651360168,0.94352869,3.847125498,3.358561374,3.363801482,3.392572155,9.568415382,0.122043212,0.918945001,3.278573013,2.645708189,3.32971707,3.18783109,1.079386777,-0.105721749,1.376609757,3.590421366,3.029663149,3.675702124,3.595071289,0.463857598,-0.261312788,1.664241685,3.753470696,3.745415275,3.147009957,3.795714861,-1.068137233,0.049404429,1.2842837,3.396277599,3.20098937,3.259096214,3.432228438,2.567698315,-0.10173589,1.112020756,3.426361433,3.237179891,3.904579152,3.29846562,13.3155432,0.017412463,0.832068926,3.936706036,4.04817811,4.020871421,3.543405011,0
Adaline,-1.362514339,-0.06758059,1.010893278,3.659162087,4.231652809,3.792451441,3.870580124,-4.143813835,0.15709197,1.108180901,3.49258786,3.891327265,3.450944653,3.728703952,2.465469752,0.341605468,1.005162252,3.887209561,3.884433938,3.807154418,3.936722512,-0.862550667,-0.373431131,0.882714217,4.357831821,4.156172141,3.612673081,3.762948474,-0.909814139,-0.706870915,0.922200708,4.576669477,4.203478582,4.031682196,4.507591634,-8.137309181,0.25912999,0.829230167,3.62440882,3.778827984,3.995200169,3.319100511,7.408456809,0.274479366,0.927455235,4.003283919,4.143000461,4.079347321,3.081046404,0
Adda,9.141145827,0.29839596,1.513853103,2.675232586,1.945840894,2.361055794,2.813173842,9.828586622,-0.038546286,1.17207133,2.653423613,1.87782224,2.276830065,2.503769129,5.620980324,0.182925654,1.395589072,1.999149469,2.061073518,2.092781025,1.919708448,5.649585704,0.128289002,1.230774574,2.451144917,2.258287323,2.625732424,2.372250721,3.940305921,0.365671578,1.30564769,2.41053422,1.875082446,2.031492869,2.486647321,10.24513676,0.070405175,1.260571129,2.315653127,2.500622614,2.38032549,2.771087562,16.81077993,0.562028949,1.554191465,2.485732693,2.29868849,2.220327205,2.627936405,0
Addie,0.626881802,0.274564719,-0.098882381,3.55276043,4.032728486,3.892030361,4.266937358,-5.260668133,0.334741097,-0.36228107,3.555032609,3.178775333,3.413945445,3.494387427,-3.645681567,0.255997789,-0.350022645,3.148031157,3.505461495,3.933384454,3.942057758,-7.152388264,-0.130824783,-0.510329106,4.749645467,4.7171542,4.518637056,4.417049832,0.895673027,-0.025863624,-0.580419844,4.023421288,3.907175719,3.595064327,4.158953194,4.840886832,0.230995712,-0.585016274,3.97098647,4.147084625,4.17304989,4.09048061,2.490340846,0.508500251,-0.699993193,4.960424685,4.559764202,4.314999902,4.04490806,0
Adela,8.656492046,-0.017991951,0.333171114,3.348453917,3.802582604,3.581944444,3.687986661,3.626191458,-0.742923265,0.674569034,3.534796537,4.096041961,3.474673015,3.908773551,2.933666895,-0.380264272,0.529457907,3.928029577,3.122111496,3.443915661,3.26951816,4.987636097,-0.235766884,0.710963239,2.395535673,3.0577758,2.853686329,3.089907333,4.835675572,-0.654411076,0.798419867,2.432246909,2.957246584,3.472585156,3.395345931,3.193629236,-0.066622803,0.560213359,4.192081736,3.230818265,3.410666776,2.802011614,12.48004681,-0.400087426,0.225608656,2.870771707,3.273583849,3.460794563,3.041302021,0
Adelaide,1.137438325,-0.05687381,-0.449919281,4.972929022,4.177103879,4.176309966,4.210482155,1.137468246,-0.435647688,-0.583573208,3.961787632,4.853619129,4.019701462,4.129072621,-0.157890279,-0.404368345,-0.663962429,3.930116891,4.129680686,4.326649114,4.014783583,-2.528708413,-0.189059312,-0.984680927,5.129060004,5.201916275,4.894746807,4.853621909,-1.606513388,0.105296671,-0.971877903,4.685113155,4.33562235,4.565431876,4.661753433,-14.07947215,0.058967053,-0.974767441,4.528416964,4.759511414,4.640486087,5.091310505,-9.314878127,0.01130606,-1.045320008,4.865759114,5.060198249,5.28108959,5.104022571,0
